date0,local_ip0,remote_asn0,flows0,date1,local_ip1,remote_asn1,flows1,date2,local_ip2,remote_asn2,flows2,date3,local_ip3,remote_asn3,flows3,date4,local_ip4,remote_asn4,flows4,date5,local_ip5,remote_asn5,flows5,date6,local_ip6,remote_asn6,flows6,date7,local_ip7,remote_asn7,flows7,date8,local_ip8,remote_asn8,flows8,date9,local_ip9,remote_asn9,flows9
704,0,7132,1,704,1,4812,4,707,2,6478,15,712,3,21840,1,713,4,7015,2,708,5,4837,18,711,6,3320,6,705,7,19306,25,705,8,137,3,705,9,12182,117
704,0,8167,1,704,1,4837,3,707,2,7018,924,713,3,4134,2,713,4,7132,2,708,5,5617,1,711,6,4134,90,705,7,21844,11,705,8,209,6,705,9,13756,8
704,0,9121,1,704,1,5379,3,707,2,7132,5,713,3,4230,1,713,4,14501,2,708,5,8070,5,711,6,4538,16,705,7,26711,3,705,8,225,6,705,9,14297,2
704,0,9800,65,704,1,6713,5,707,2,7377,79,713,3,4766,2,713,4,14778,2,708,5,8075,4,711,6,4804,2,706,7,3,2,705,8,577,10,705,9,14744,3
704,0,10796,1,704,1,8075,2,707,2,8560,1,713,3,4812,1,713,4,22855,14,708,5,13867,2,711,6,4812,1,706,7,209,3,705,8,701,2,705,9,14745,1
704,0,11172,1,704,1,8708,1,707,2,9506,58,713,3,4814,22,713,4,29895,14,708,5,14383,2,711,6,4837,1,706,7,1239,14,705,8,1668,6,705,9,14835,3
704,0,11398,1,704,1,9269,1,707,2,11414,40,713,3,7015,26,713,4,31976,85,708,5,17964,1,711,6,9244,2,706,7,2152,29,705,8,1712,28,705,9,15104,58
704,0,13462,32,704,1,9271,2,707,2,15169,15,713,3,8151,2,713,4,33651,5,708,5,25074,2,711,6,9394,4,706,7,2914,2,705,8,1715,3,705,9,15169,112
704,0,13609,1,704,1,9800,1,707,2,16572,2,713,3,8866,1,714,4,7018,1,708,5,27696,2,711,6,14265,6,706,7,3561,13,705,8,2152,6,705,9,15270,9
704,0,14780,1,704,1,9808,1,707,2,16912,35,713,3,8972,2,714,4,7132,2,709,5,2152,2,711,6,17897,2,706,7,3701,3,705,8,2200,7,705,9,15496,19
704,0,18229,79,704,1,9812,1,707,2,17225,1,713,3,9803,1,714,4,14501,3,709,5,3356,2,712,6,3,2,706,7,5067,10,705,8,2514,3,705,9,17020,211
704,0,19191,1,704,1,9929,1,707,2,17233,8,713,3,13488,1,714,4,14777,3,709,5,3561,1,712,6,4134,5,706,7,6432,9,705,8,2611,2,705,9,17225,1
704,0,19262,2,704,1,11232,1,707,2,19181,1,713,3,14501,2,714,4,22855,14,709,5,4134,1,712,6,4766,2,706,7,8070,6,705,8,2846,3,705,9,17392,4
704,0,20172,1,704,1,11351,3,707,2,19918,700,713,3,16206,1,714,4,29895,14,709,5,4323,2,712,6,4812,1,706,7,8560,2,705,8,3356,3,705,9,19024,1
704,0,22291,2,704,1,12302,201,707,2,29863,4,713,3,19817,1,714,4,31976,82,709,5,4766,2,712,6,4837,1,706,7,9156,11,705,8,3561,2,705,9,20021,4
704,0,22773,1,704,1,14777,12,707,2,30099,4,714,3,8,6,714,4,33651,7,709,5,4837,3,712,6,9394,5,706,7,10565,11,705,8,3598,3,705,9,22373,14
704,0,22909,1,704,1,14778,6,707,2,33260,8,714,3,852,1,715,4,4323,2,709,5,8070,5,712,6,9803,2,706,7,10910,9,705,8,3701,4,705,9,22958,52
704,0,23520,1,704,1,15169,12,707,2,33651,28,714,3,4134,2,715,4,4837,3,709,5,8075,5,712,6,9808,1,706,7,11115,83,705,8,4682,1,705,9,25737,8
704,0,26085,3,704,1,17429,1,708,2,4,1,714,3,5078,1,715,4,7132,15,709,5,8881,2,712,6,15464,1,706,7,12182,2,705,8,4725,28,705,9,26914,2
704,0,27262,1,704,1,18229,66,708,2,16,9,714,3,7018,1,715,4,14501,8,709,5,9916,1,712,6,17964,2,706,7,12222,5,705,8,4766,4409,705,9,29960,1
704,0,31976,1,704,1,19191,18,708,2,209,2,714,3,13571,1,715,4,14778,4,709,5,13867,2,712,6,21840,1,706,7,15169,78,705,8,5662,10,705,9,30678,5
